geographic_area,geographic_name,gender,age,year,time_period,time_period_dates,rate_of_pregnant_women_with_oud_diagnosis,type_of_rate,number_of_women_with_a_delivery_and_oud_diagnosis,number_of_women_with_a_delivery_and_oud_diagnosis_notes,number_of_women_with_a_delivery_and_oud_description,total_number_of_deliveries,total_number_of_deliveries_notes,total_number_of_deliveries_description,county_code_number,county_code_text,state_fips_code,county_fips_code,georeferenced_latitude_longitude,county,date,age_group,tot_pop,tot_male,tot_female,wa_male,wa_female,ba_male,ba_female,ia_male,ia_female,aa_male,aa_female,na_male,na_female,tom_male,tom_female,wac_male,wac_female,bac_male,bac_female,iac_male,iac_female,aac_male,aac_female,nac_male,nac_female,nh_male,nh_female,nhwa_male,nhwa_female,nhba_male,nhba_female,nhia_male,nhia_female,nhaa_male,nhaa_female,nhna_male,nhna_female,nhtom_male,nhtom_female,nhwac_male,nhwac_female,nhbac_male,nhbac_female,nhiac_male,nhiac_female,nhaac_male,nhaac_female,nhnac_male,nhnac_female,h_male,h_female,hwa_male,hwa_female,hba_male,hba_female,hia_male,hia_female,haa_male,haa_female,hna_male,hna_female,htom_male,htom_female,hwac_male,hwac_female,hbac_male,hbac_female,hiac_male,hiac_female,haac_male,haac_female,hnac_male,hnac_female,geo_id_ct,region,subreg3,met_nonmet2023,met_nonmet2013,beale2013,hi_pov60,hi_pov70,hi_pov80,hi_pov90,hi_pov00,hi_pov0711,hi_pov1519,hi_pov1721,ext_pov60,ext_pov70,ext_pov80,ext_pov90,ext_pov00,ext_pov0711,ext_pov1519,ext_pov1721,per_pov90,per_pov00,per_pov0711,per_pov1519,per_pov1721,endure_pov0711,endure_pov1519,endure_pov1721
County,Luzerne,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,43.62,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",83,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1903,NA,Deliveries (live births or still births),40,40,42,079,POINT (-75.9919961 41.17836439),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Allegheny,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,54.55,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",211,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,3868,NA,Deliveries (live births or still births),2,02,42,003,POINT (-79.98619843 40.46735543),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Somerset,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,113.79,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",33,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,290,NA,Deliveries (live births or still births),56,56,42,111,POINT (-79.03100206 39.97146299),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Warren,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,86.33,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",12,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,139,NA,Deliveries (live births or still births),62,62,42,123,POINT (-79.27858158 41.81675237),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Juniata,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,70,NA,Deliveries (live births or still births),34,34,42,067,POINT (-77.405775 40.53433008),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Elk,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,174.31,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",19,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,109,NA,Deliveries (live births or still births),24,24,42,047,POINT (-78.64947713 41.42819416),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Delaware,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,45.76,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",108,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,2360,NA,Deliveries (live births or still births),23,23,42,045,POINT (-75.40627712 39.91657867),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Fayette,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,121.99,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",86,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,705,NA,Deliveries (live births or still births),26,26,42,051,POINT (-79.65189635 39.9194478),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Bucks,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,108.82,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",153,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1406,NA,Deliveries (live births or still births),9,09,42,017,POINT (-75.11291241 40.33501133),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Cumberland,Female,12 to 55 years,2020-07-01,2020 Annual,1/1/2020-12/31/2020,46.98,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",42,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,894,NA,Deliveries (live births or still births),21,21,42,041,POINT (-77.26866271 40.16759839),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Philadelphia,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,29.87,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",368,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,12319,NA,Deliveries (live births or still births),51,51,42,101,POINT (-75.140236 40.00444354),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Lehigh,Female,12 to 55 years,2016-07-01,2016 Annual,1/1/2016-12/31/2016,15.58,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",27,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1733,NA,Deliveries (live births or still births),39,39,42,077,POINT (-75.60099481 40.61464794),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Huntingdon,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,76.09,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",14,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,184,NA,Deliveries (live births or still births),31,31,42,061,POINT (-77.9827661 40.416105),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Cambria,Female,12 to 55 years,2016-07-01,2016 Annual,1/1/2016-12/31/2016,86.71,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",45,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,519,NA,Deliveries (live births or still births),11,11,42,021,POINT (-78.71894174 40.49127491),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Cumberland,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,51.89,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",44,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,848,NA,Deliveries (live births or still births),21,21,42,041,POINT (-77.26866271 40.16759839),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Dauphin,Female,12 to 55 years,2016-07-01,2016 Annual,1/1/2016-12/31/2016,17.37,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",26,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1497,NA,Deliveries (live births or still births),22,22,42,043,POINT (-76.77960568 40.41974636),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Philadelphia,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,28.31,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",364,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,12859,NA,Deliveries (live births or still births),51,51,42,101,POINT (-75.140236 40.00444354),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Indiana,Female,12 to 55 years,2020-07-01,2020 Annual,1/1/2020-12/31/2020,62.26,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",16,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,257,NA,Deliveries (live births or still births),32,32,42,063,POINT (-79.09333493 40.65295498),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Beaver,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,73.39,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",40,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,545,NA,Deliveries (live births or still births),4,04,42,007,POINT (-80.35107356 40.68349246),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Forest,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,13,NA,Deliveries (live births or still births),27,27,42,053,POINT (-79.23780995 41.51357876),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Cameron,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,19,NA,Deliveries (live births or still births),12,12,42,023,POINT (-78.20916932 41.43880265),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Washington,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,107.87,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",74,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,686,NA,Deliveries (live births or still births),63,63,42,125,POINT (-80.25180083 40.19109664),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Berks,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,23.71,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",51,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,2151,NA,Deliveries (live births or still births),6,06,42,011,POINT (-75.93077327 40.41939635),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Lancaster,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,35.97,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",69,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1918,NA,Deliveries (live births or still births),36,36,42,071,POINT (-76.25138768 40.04590796),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Susquehanna,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,62.5,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",11,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,176,NA,Deliveries (live births or still births),58,58,42,115,POINT (-75.80250303 41.8205686),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,York,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,49.57,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",92,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1856,NA,Deliveries (live births or still births),67,67,42,133,POINT (-76.72576052 39.92192531),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Mifflin,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,79.68,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",20,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,251,NA,Deliveries (live births or still births),44,44,42,087,POINT (-77.62003089 40.61274928),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
